Account,Cust Code,Part Code,Inv Date,Quantity,Price,Tax,Others
Account A,Cust-00762,Part-01473,2022-04-01,3.0,9787.1,8415.52,694.14
Account A,Cust-00762,Part-01473,2022-04-01,10.0,9787.1,28051.74,2313.8
Account A,Cust-00519,Part-01675,2022-04-01,18.6,46045.0,154158.66,10105.96
Account A,Cust-00302,Part-01312,2022-04-01,5.0,4761.14,4570.44,1585.65
Account A,Cust-00302,Part-01573,2022-04-01,5.0,4752.34,4562.52,1585.65
Account A,Cust-00302,Part-01265,2022-04-01,5.0,3534.2,3429.27,1380.5
Account A,Cust-00302,Part-01264,2022-04-01,5.0,3529.9,3425.4,1380.5
Account A,Cust-00762,Part-01476,2022-04-01,33.0,533.33,5357.35,1533.51
Account A,Cust-00762,Part-01476,2022-04-01,35.0,533.33,5682.04,1626.45
Account A,Cust-00274,Part-01645,2022-04-01,10.0,4259.1,7991.1,1804.0
Account A,Cust-00274,Part-01646,2022-04-01,15.0,4278.6,12039.3,2706.0
Account A,Cust-00274,Part-01646,2022-04-01,10.0,4278.6,8026.2,1804.0
Account A,Cust-00274,Part-01189,2022-04-01,10.0,4461.08,8322.98,1628.0
Account A,Cust-00274,Part-01584,2022-04-01,5.0,2513.92,2262.53,0.0
Account A,Cust-00274,Part-01624,2022-04-01,20.0,947.48,3496.0,472.6
Account A,Cust-00274,Part-01623,2022-04-01,10.0,948.15,1757.97,285.0
Account A,Cust-00274,Part-01602,2022-04-01,10.0,932.95,1730.61,285.0
Account A,Cust-00274,Part-01626,2022-04-01,10.0,4384.2,8089.56,1100.0
Account A,Cust-00274,Part-01625,2022-04-01,10.0,4378.3,8078.94,1100.0
Account A,Cust-00274,Part-01626,2022-04-01,5.0,4384.2,4044.78,550.0
Account A,Cust-00274,Part-01625,2022-04-01,5.0,4378.3,4039.47,550.0
Account A,Cust-00274,Part-01582,2022-04-01,5.0,4628.08,4311.79,814.0
Account A,Cust-00274,Part-01193,2022-04-01,5.0,4712.28,4387.57,814.0
Account A,Cust-00274,Part-01646,2022-04-01,20.0,4278.6,16052.4,3608.0
Account A,Cust-00274,Part-01645,2022-04-01,15.0,4259.1,11986.65,2706.0
Account A,Cust-00274,Part-01645,2022-04-01,5.0,4259.1,3995.55,902.0
Account A,Cust-00274,Part-01577,2022-04-01,10.0,4469.88,8338.82,1628.0
Account A,Cust-00274,Part-01583,2022-04-01,5.0,4916.28,4424.65,0.0
