Account,Cust Code,Part Code,Inv Date,Quantity,Price,Tax,Others
Account A,Cust-00762,Part-01473,2022-04-01,3,"9,787.10","8,415.52",694.14
Account A,Cust-00762,Part-01473,2022-04-01,10,"9,787.10","28,051.74","2,313.80"
Account A,Cust-00519,Part-01675,2022-04-01,18.6,"46,045.00","1,54,158.66","10,105.96"
Account A,Cust-00302,Part-01312,2022-04-01,5,"4,761.14","4,570.44","1,585.65"
Account A,Cust-00302,Part-01573,2022-04-01,5,"4,752.34","4,562.52","1,585.65"
Account A,Cust-00302,Part-01265,2022-04-01,5,"3,534.20","3,429.27","1,380.50"
Account A,Cust-00302,Part-01264,2022-04-01,5,"3,529.90","3,425.40","1,380.50"
Account A,Cust-00762,Part-01476,2022-04-01,33,533.33,"5,357.35","1,533.51"
Account A,Cust-00762,Part-01476,2022-04-01,35,533.33,"5,682.04","1,626.45"
Account A,Cust-00274,Part-01645,2022-04-01,10,"4,259.10","7,991.10","1,804.00"
Account A,Cust-00274,Part-01646,2022-04-01,15,"4,278.60","12,039.30","2,706.00"
Account A,Cust-00274,Part-01646,2022-04-01,10,"4,278.60","8,026.20","1,804.00"
Account A,Cust-00274,Part-01189,2022-04-01,10,"4,461.08","8,322.98","1,628.00"
Account A,Cust-00274,Part-01584,2022-04-01,5,"2,513.92","2,262.53",0.00
Account A,Cust-00274,Part-01624,2022-04-01,20,947.48,"3,496.00",472.60
Account A,Cust-00274,Part-01623,2022-04-01,10,948.15,"1,757.97",285.00
Account A,Cust-00274,Part-01602,2022-04-01,10,932.95,"1,730.61",285.00
Account A,Cust-00274,Part-01646,2022-04-01,10,"4,278.60","8,026.20","1,804.00"
Account A,Cust-00274,Part-01645,2022-04-01,10,"4,259.10","7,991.10","1,804.00"
Account A,Cust-00274,Part-01626,2022-04-01,10,"4,384.20","8,089.56","1,100.00"
Account A,Cust-00274,Part-01625,2022-04-01,10,"4,378.30","8,078.94","1,100.00"
Account A,Cust-00274,Part-01626,2022-04-01,5,"4,384.20","4,044.78",550.00
Account A,Cust-00274,Part-01625,2022-04-01,5,"4,378.30","4,039.47",550.00
Account A,Cust-00274,Part-01646,2022-04-01,10,"4,278.60","8,026.20","1,804.00"
Account A,Cust-00274,Part-01645,2022-04-01,10,"4,259.10","7,991.10","1,804.00"
Account A,Cust-00274,Part-01582,2022-04-01,5,"4,628.08","4,311.79",814.00
Account A,Cust-00274,Part-01193,2022-04-01,5,"4,712.28","4,387.57",814.00
Account A,Cust-00274,Part-01646,2022-04-01,20,"4,278.60","16,052.40","3,608.00"
Account A,Cust-00274,Part-01645,2022-04-01,15,"4,259.10","11,986.65","2,706.00"
Account A,Cust-00274,Part-01645,2022-04-01,5,"4,259.10","3,995.55",902.00
Account A,Cust-00274,Part-01577,2022-04-01,10,"4,469.88","8,338.82","1,628.00"
Account A,Cust-00274,Part-01583,2022-04-01,5,"4,916.28","4,424.65",0.00
Account A,Cust-00274,Part-01202,2022-04-01,5,"4,814.48","4,479.55",814.00
Account A,Cust-00274,Part-01626,2022-04-01,5,"4,384.20","4,044.78",550.00
Account A,Cust-00274,Part-01625,2022-04-01,5,"4,378.30","4,039.47",550.00
Account A,Cust-00274,Part-01632,2022-04-01,48,833.50,"7,405.60","1,134.24"
Account A,Cust-00274,Part-01577,2022-04-01,5,"4,469.88","4,169.41",814.00
Account A,Cust-00274,Part-01189,2022-04-01,5,"4,461.08","4,161.49",814.00
Account A,Cust-00274,Part-01189,2022-04-02,10,"4,461.08","8,322.98","1,628.00"
Account A,Cust-00274,Part-01577,2022-04-02,10,"4,469.88","8,338.82","1,628.00"
Account A,Cust-00274,Part-01625,2022-04-02,15,"4,378.30","12,118.41","1,650.00"
Account A,Cust-00274,Part-01626,2022-04-02,15,"4,384.20","12,134.34","1,650.00"
Account A,Cust-00274,Part-01632,2022-04-02,24,833.50,"3,702.80",567.12
Account A,Cust-00274,Part-01605,2022-04-02,5,"3,106.04","2,819.47",133.50
Account A,Cust-00274,Part-01584,2022-04-02,5,"2,513.92","2,262.53",0.00
Account A,Cust-00274,Part-01584,2022-04-02,5,"2,513.92","2,262.53",0.00
Account A,Cust-00274,Part-01601,2022-04-02,5,"4,993.10","4,533.39",220.00
Account A,Cust-00274,Part-01605,2022-04-02,5,"3,106.04","2,819.47",133.50
Account A,Cust-00274,Part-01202,2022-04-02,5,"4,814.48","4,479.55",814.00
Account A,Cust-00274,Part-01583,2022-04-02,5,"4,916.28","4,424.65",0.00
Account A,Cust-00274,Part-01189,2022-04-02,5,"4,461.08","4,161.49",814.00
Account A,Cust-00274,Part-01577,2022-04-02,5,"4,469.88","4,169.41",814.00
Account A,Cust-00274,Part-01604,2022-04-02,5,"4,746.59","4,277.06",28.50
Account A,Cust-00274,Part-01584,2022-04-02,10,"2,513.92","4,525.06",0.00
Account A,Cust-00274,Part-01646,2022-04-02,15,"4,278.60","12,039.30","2,706.00"
Account A,Cust-00274,Part-01645,2022-04-02,15,"4,259.10","11,986.65","2,706.00"
Account A,Cust-00274,Part-01624,2022-04-02,60,947.48,"11,611.94","7,662.00"
Account A,Cust-00274,Part-01606,2022-04-02,30,656.63,"4,052.86","2,817.00"
Account A,Cust-00274,Part-01622,2022-04-02,15,628.91,"1,781.76",465.00
Account A,Cust-00274,Part-01621,2022-04-02,15,622.41,"1,764.21",465.00
Account A,Cust-00274,Part-01645,2022-04-02,20,"4,259.10","15,982.20","3,608.00"
Account A,Cust-00274,Part-01646,2022-04-02,5,"4,278.60","4,013.10",902.00
Account A,Cust-00274,Part-01645,2022-04-02,10,"4,259.10","7,991.10","1,804.00"
Account A,Cust-00274,Part-01646,2022-04-02,10,"4,278.60","8,026.20","1,804.00"
Account A,Cust-00274,Part-01632,2022-04-02,24,833.50,"3,702.80",567.12
